text,date,rating,sentiment,confidence
Unique flavor and great energy boost. It's the perfect gamer's drink!,2023-05-18,,POSITIVE,0.9998904466629028
Good flavor and keeps me energized. The bottle design is really fun.,2023-05-17,,POSITIVE,0.999889612197876
Excellent energy drink for gamers. The tropical flavor is refreshing.,2023-05-16,,POSITIVE,0.9998767375946045
"It’s fun, tastes good, and the energy boost is helpful during intense gaming sessions.",2023-05-15,,POSITIVE,0.999864935874939
"The best sneakers I've bought in a long time. Stylish, comfortable and the leather quality is top-notch.",2023-05-15,,POSITIVE,0.9998451471328735
The cherry cola flavor is a win. Keeps me energized and focused.,2023-05-12,,POSITIVE,0.9998745918273926
These shoes are a hit with my twins. They love the lights and they seem to be quite durable.,2023-05-10,,POSITIVE,0.9998632669448853
Excellent boots for outdoor adventures. They offer great support and are very comfortable.,2023-05-01,,POSITIVE,0.9998654127120972
"Nice design and good quality, but a bit too tight for me. Otherwise, it's a pretty cool beanie.",2023-05-01,,POSITIVE,0.9984560012817383
Unique flavor and great energy boost. It's the perfect gamer's drink!,2023-05-18,,POSITIVE,0.9998904466629028
Good flavor and keeps me energized. The bottle design is really fun.,2023-05-17,,POSITIVE,0.999889612197876
Excellent energy drink for gamers. The tropical flavor is refreshing.,2023-05-16,,POSITIVE,0.9998767375946045
"It’s fun, tastes good, and the energy boost is helpful during intense gaming sessions.",2023-05-15,,POSITIVE,0.999864935874939
"The best sneakers I've bought in a long time. Stylish, comfortable and the leather quality is top-notch.",2023-05-15,,POSITIVE,0.9998451471328735
The cherry cola flavor is a win. Keeps me energized and focused.,2023-05-12,,POSITIVE,0.9998745918273926
These shoes are a hit with my twins. They love the lights and they seem to be quite durable.,2023-05-10,,POSITIVE,0.9998632669448853
Excellent boots for outdoor adventures. They offer great support and are very comfortable.,2023-05-01,,POSITIVE,0.9998654127120972
"Nice design and good quality, but a bit too tight for me. Otherwise, it's a pretty cool beanie.",2023-05-01,,POSITIVE,0.9984560012817383
Unique flavor and great energy boost. It's the perfect gamer's drink!,2023-05-18,,POSITIVE,0.9998904466629028
Good flavor and keeps me energized. The bottle design is really fun.,2023-05-17,,POSITIVE,0.999889612197876
Excellent energy drink for gamers. The tropical flavor is refreshing.,2023-05-16,,POSITIVE,0.9998767375946045
"It’s fun, tastes good, and the energy boost is helpful during intense gaming sessions.",2023-05-15,,POSITIVE,0.999864935874939
"The best sneakers I've bought in a long time. Stylish, comfortable and the leather quality is top-notch.",2023-05-15,,POSITIVE,0.9998451471328735
The cherry cola flavor is a win. Keeps me energized and focused.,2023-05-12,,POSITIVE,0.9998745918273926
These shoes are a hit with my twins. They love the lights and they seem to be quite durable.,2023-05-10,,POSITIVE,0.9998632669448853
Excellent boots for outdoor adventures. They offer great support and are very comfortable.,2023-05-01,,POSITIVE,0.9998654127120972
"Nice design and good quality, but a bit too tight for me. Otherwise, it's a pretty cool beanie.",2023-05-01,,POSITIVE,0.9984560012817383
