date,text,rating
2023-01-10,"A must-have for cat lovers. It's adorable and keeps me warm during chilly weather.",4
2023-01-15,"The design is just epic! And the energy boost is real.",4
2023-01-24,"These chocolates are so tasty! Love the variety of flavors.",5
2023-02-12,"The cherry cola flavor is very appealing. Provides a good energy boost for gaming!",4
2023-02-15,"It's quite nice but a little snug on my head. Maybe it's just my head size. But I love the design!",3
2023-02-18,"The tropical flavor is really good, and the energy kick is powerful.",5
2023-02-20,"Perfect for long gaming nights. Love the taste and the cool bottle design.",5
2023-03-01,"Very comfortable and the leather feels premium. Would recommend to anyone looking for classic sneakers.",5
2023-03-05,"Cool shoes, but the lights stopped working after a few weeks.",3
2023-03-10,"Finally, an energy drink for gamers! It's just like a mana potion.",5
2023-04-01,"Great taste and doesn't give me a crash afterwards.",4
2023-04-05,"Great taste, and the energy kick is awesome. Feels just like a strength potion.",5
2023-04-07,"Really helps me focus during intense gaming marathons. The teal color is a nice touch.",5
2023-04-10,"Light, comfortable, and nice design. I'm buying another pair.",5
2023-04-11,"This potion is a game changer. Love the energy boost and the flavor.",5
2023-04-12,"The boots are durable, but the laces could be better quality.",4
2023-04-18,"Delicious chocolates, and the box is pretty substantial. It'd make a nice gift.",5
2023-04-25,"Really enjoyed the citrus flavor and the energy boost it gives.",5
2023-05-01,"Good quality and comfortable, but a bit pricey.",4
2023-05-10,"These shoes are a hit with my twins. They love the lights and they seem to be quite durable.",5
2023-05-12,"The cherry cola flavor is a win. Keeps me energized and focused.",5
2023-05-15,"It’s fun, tastes good, and the energy boost is helpful during intense gaming sessions.",5
2023-05-15,"The best sneakers I've bought in a long time. Stylish, comfortable and the leather quality is top-notch.",5
2023-05-16,"Excellent energy drink for gamers. The tropical flavor is refreshing.",4
2023-05-17,"Good flavor and keeps me energized. The bottle design is really fun.",5
2023-05-18,"Unique flavor and great energy boost. It's the perfect gamer's drink!",5

